shipment_id,latitude,longitude,temperature,timestamp,device_id
ship002,34.052235,-118.243683,22.1,2024-11-21 10:00:00,dev002
ship002,34.052500,-118.243500,22.0,2024-11-21 11:00:00,dev002
ship002,34.052750,-118.243250,21.9,2024-11-21 12:00:00,dev002
ship002,34.053000,-118.243000,21.8,2024-11-21 13:00:00,dev002
ship002,34.053250,-118.242750,21.7,2024-11-21 14:00:00,dev002
ship002,34.053500,-118.242500,21.6,2024-11-21 15:00:00,dev002
ship002,34.053750,-118.242250,21.5,2024-11-21 16:00:00,dev002
ship002,34.054000,-118.242000,21.4,2024-11-21 17:00:00,dev002
ship002,34.054250,-118.241750,21.3,2024-11-21 18:00:00,dev002
ship002,34.054500,-118.241500,21.2,2024-11-21 19:00:00,dev002
ship002,34.054750,-118.241250,21.1,2024-11-21 20:00:00,dev002
ship002,34.055000,-118.241000,21.0,2024-11-21 21:00:00,dev002
ship002,34.055250,-118.240750,20.9,2024-11-21 22:00:00,dev002
ship002,34.055500,-118.240500,20.8,2024-11-21 23:00:00,dev002
ship002,34.055750,-118.240250,20.7,2024-11-22 00:00:00,dev002
ship002,34.056000,-118.240000,20.6,2024-11-22 01:00:00,dev002
ship002,34.056250,-118.239750,20.5,2024-11-22 02:00:00,dev002
ship002,34.056500,-118.239500,20.4,2024-11-22 03:00:00,dev002
ship002,34.056750,-118.239250,20.3,2024-11-22 04:00:00,dev002
ship002,34.057000,-118.239000,20.2,2024-11-22 05:00:00,dev002
ship002,34.057250,-118.238750,20.1,2024-11-22 06:00:00,dev002
ship002,34.057500,-118.238500,20.0,2024-11-22 07:00:00,dev002
ship002,34.057750,-118.238250,19.9,2024-11-22 08:00:00,dev002
ship002,34.058000,-118.238000,19.8,2024-11-22 09:00:00,dev002
ship002,34.058250,-118.237750,19.7,2024-11-22 10:00:00,dev002
ship002,34.058500,-118.237500,19.6,2024-11-22 11:00:00,dev002
ship002,34.058750,-118.237250,19.5,2024-11-22 12:00:00,dev002
ship002,34.059000,-118.237000,19.4,2024-11-22 13:00:00,dev002
ship002,34.059250,-118.236750,19.3,2024-11-22 14:00:00,dev002
ship002,34.059500,-118.236500,19.2,2024-11-22 15:00:00,dev002
ship002,34.059750,-118.236250,19.1,2024-11-22 16:00:00,dev002
ship002,34.060000,-118.236000,19.0,2024-11-22 17:00:00,dev002
